"id","concession","area","sitecode","stopname","roadname","towards","coordinates"
491,"JTL","Central","JTL-044","Minto Road","Bhavdbhuti Marg","Ajmeri gate","28.639016, 77.223322"
492,"JTL","North","JTL-045","J L Nehru Marg","Jawaharlal Nehru Marg","ISBT","28.642092, 77.228151"
493,"JTL","North","JTL-046","PS Kamla Market","Jawaharlal Nehru Marg","Ajmeri gate","28.642986, 77.226111"
494,"JTL","North","JTL-047","Kamla Market Bara Akhara","Jawaharlal Nehru Marg","Rajghat","28.643214, 77.226151"
495,"JTL","North","JTL-048","Kamla Market","Jawaharlal Nehru Marg","Connaught Place","28.644672, 77.223810"
496,"JTL","Central","JTL-049","Panchkuian Road","Panchkuian Road","Karol Bagh","28.640131, 77.206785"
497,"JTL","Central","JTL-050","Panchkuian Road","Panchkuian Road","Connaught Place","28.640249, 77.206985"
498,"JTL","Central","JTL-051","Panchkuian Road Banwari Lal Hospital","Panchkuian Road","Connaught Place","28.641741, 77.204498"
499,"JTL","Central","JTL-052","B.L.Hospital","Panchkuian Road","Karol Bagh","28.641672, 77.204157"
500,"JTL","Central","JTL-053","Meghdoot Bhawan","Panchkuian Road","Connaught Place","28.644093, 77.200633"
501,"JTL","Central","JTL-054","Meghdoot Bhawan","Panchkuian Road","Connaught Place","28.644008, 77.200847"
502,"JTL","Central","JTL-055","Karol Bagh","Vandemataram Marg","Shankar Road","28.643783, 77.189326"
503,"JTL","South","JTL-056","Bhogal","Mathura Road","ZOO","28.582025, 77.251580"
504,"JTL","South","JTL-057","Bhogal","Mathura Road","ZOO","28.582350, 77.251512"
505,"JTL","South","JTL-058","Bhogal RLY Road","Mathura Road","Ashram","28.583046, 77.251322"
506,"JTL","South","JTL-059","Nizamuddin Railway Station","Rahim Khan Marg","Ashram","28.586771, 77.252893"
507,"JTL","South","JTL-060","Dargah Hazrat Nizamuddin","Mathura Road","Ashram","28.591505, 77.245063"
508,"JTL","South","JTL-061","Dargah Hazrat Nizamuddin","Mathura Road","ZOO","28.591548, 77.244640"
509,"JTL","South","JTL-062","Dargah Hazrat Nizamuddin","Mathura Road","ZOO","28.591835, 77.244455"
510,"JTL","South","JTL-063","Dargah Hazrat Nizamuddin","Mathura Road","Ashram","28.591314, 77.245144"
511,"JTL","South","JTL-064","ISPAT Bhawan","Lodhi Road","Lodhi","28.592570, 77.236656"
512,"JTL","South","JTL-065","ISPAT Bhawan","Lodhi Road","Nizamuddin","28.592302, 77.236693"
513,"JTL","South","JTL-066","Lodhi Colony 18 Block","Max Mueller Marg","Khan Market","28.587450, 77.223987"
514,"JTL","South","JTL-067","Lodhi Colony 18 Block","Max Mueller Marg","Sewa Nagar","28.586759, 77.224288"
515,"JTL","South","JTL-068","Pragati Vihar","Bhisham Pitamah Marg","Khan Market","28.586759, 77.224288"
516,"JTL","South","JTL-069","Pragati Vihar","Bhisham Pitamah Marg","Defence Colony","28.587663, 77.229439"
517,"JTL","South","JTL-070","JLN Stadium","Bhisham Pitamah Marg","Defence Colony","28.584060, 77.230068"
518,"JTL","South","JTL-071","JLN Stadium","Bhisham Pitamah Marg","Khan Market","28.583921, 77.229901"
519,"JTL","South","JTL-072","JLN Stadium","Bhisham Pitamah Marg","Lodhi Road","28.590198, 77.233119"
520,"JTL","South","JTL-073","JLN Stadium","Bhisham Pitamah Marg","Defence Colony","28.583924, 77.230090"
521,"JTL","South","JTL-074","PT College Kotla","Bhisham Pitamah Marg","Ring road","28.570127, 77.226692"
522,"JTL","South","JTL-075","Central School","Bhisham Pitamah Marg","JLN Stadium","28.584971, 77.228024"
523,"JTL","South","JTL-076","Central School","Bhisham Pitamah Marg","Lodhi colony","28.584799, 77.228006"
524,"JTL","South","JTL-077","Defence Colony Homeopathy College","Bhisham Pitamah Marg","Ring Road","28.572017, 77.227738"
525,"JTL","Central","JTL-078","I P Power Station","Mahatma Gandhi Marg","S K Khan","28.624627, 77.247347"
526,"JTL","Central","JTL-079","I P Power station","Mahatma Gandhi Marg","ISBT","28.624541, 77.247137"
527,"JTL","Central","JTL-080","I P Depot","Mahatma Gandhi Marg","ISBT","28.620174, 77.248505"
528,"JTL","Central","JTL-081","I P Depot","Mahatma Gandhi Marg","S K Khan","28.619861, 77.248891"
529,"JTL","Central","JTL-082","Pragati Power station","Mahatma Gandhi Marg","ISBT","28.615195, 77.250059"
530,"JTL","Central","JTL-083","Pragati Power station","Mahatma Gandhi Marg","S K Khan","28.615341, 77.250362"
531,"JTL","Central","JTL-084","Pragati Maidan","Bhairon Marg","ISBT","28.612684, 77.245007"
532,"JTL","Central","JTL-085","Pragati Maidan","Bhairon Marg","ISBT","28.612686, 77.245259"
533,"JTL","Central","JTL-086","Pragati Maidan","Bhairon Marg","ISBT","28.612743, 77.244018"
534,"JTL","Central","JTL-087","Railway Road Bridge","Mahatma Gandhi Marg","ISBT","28.609921, 77.251683"
535,"JTL","Central","JTL-088","Railway Road Bridge","Mahatma Gandhi Marg","ISBT","28.610420, 77.251543"
536,"JTL","Central","JTL-089","Railway Road Bridge","Mahatma Gandhi Marg","Ashram","28.610797, 77.251854"
537,"JTL","Central","JTL-090","Railway Road Bridge","Mahatma Gandhi Marg","Ashram","28.610317, 77.251967"
538,"JTL","Central","JTL-091","Nizamuddin Road Bridge","Mahatma Gandhi Marg","ISBT","28.603676, 77.253728"
539,"JTL","Central","JTL-092","Nizamuddin Road Bridge","Mahatma Gandhi Marg","ISBT","28.604050, 77.253578"
540,"JTL","Central","JTL-093","Nizamuddin Road Bridge","Mahatma Gandhi Marg","Ashram","28.603473, 77.254195"
541,"JTL","Central","JTL-094","Nizamuddin Road Bridge","Mahatma Gandhi Marg","Ashram","28.603094, 77.254318"
542,"JTL","Central","JTL-095","Nizamuddin Bridge","Gurjar Samrat Mihir Bhoj Marg","Akshardham","28.599016, 77.257588"
543,"JTL","Central","JTL-096","PWD Office N H-24","Gurjar Samrat Mihir Bhoj Marg","Akshardham","28.603992, 77.269063"
544,"JTL","Central","JTL-097","I P Park","Mahatma Gandhi Marg","ISBT","28.599625, 77.254931"
545,"JTL","Central","JTL-098","I P Park","Mahatma Gandhi Marg","ISBT","28.599464, 77.254986"
546,"JTL","South","JTL-099","Sarai Kale Khan","Mahatma Gandhi Marg","ISBT","28.591138, 77.257800"
547,"JTL","South","JTL-100","Sarai Kale Khan","Mahatma Gandhi Marg","Ashram","28.589018, 77.258898"
548,"JTL","South","JTL-101","Sarai Kale Khan","Mahatma Gandhi Marg","Ashram","28.588900, 77.258948"
549,"JTL","South","JTL-102","Sarai Kale Khan","Mahatma Gandhi Marg","ISBT","28.590891, 77.257824"
550,"JTL","South","JTL-103","Sarai Kale Khan","Mahatma Gandhi Marg","ISBT","28.590515, 77.257929"
551,"JTL","South","JTL-104","Gurudwara Bala Sahib","Mahatma Gandhi Marg","BMT","28.581261, 77.266005"
552,"JTL","South","JTL-105","Gurudwara Bala Sahib","Mahatma Gandhi Marg","Ashram","28.581541, 77.266289"
553,"JTL","South","JTL-106","Maharani Bagh","Mahatma Gandhi Marg","Ashram","28.576513, 77.264795"
554,"JTL","South","JTL-107","Maharani Bagh","Mahatma Gandhi Marg","Ashram","28.576263, 77.264431"
555,"JTL","South","JTL-108","Maharani Bagh","Mahatma Gandhi Marg","Ashram","28.574949, 77.262365"
556,"JTL","South","JTL-109","Maharani Bagh","Mahatma Gandhi Marg","DND","28.576508, 77.264212"
557,"JTL","South","JTL-110","Maharani Bagh","Mahatma Gandhi Marg","DND","28.576653, 77.264440"
558,"JTL","South","JTL-111","Nehru Nagar","Mahatma Gandhi Marg","Ashram","28.569114, 77.253807"
559,"JTL","South","JTL-112","Nehru Nagar","Mahatma Gandhi Marg","Dhaula Kuan","28.568742, 77.254198"
560,"JTL","South","JTL-113","Sriniwas Puri","Mahatma Gandhi Marg","Dhaula Kuan","28.566789, 77.253147"
561,"JTL","South","JTL-114","PGDAV College","Mahatma Gandhi Marg","Ashram","28.567152, 77.252785"
562,"JTL","South","JTL-115","PGDAV College","Mahatma Gandhi Marg","Ashram","28.567581, 77.252992"
563,"JTL","South","JTL-116","Lajpat Nagar","Mahatma Gandhi Marg","Dhaula Kuan","28.565399, 77.249175"
564,"JTL","South","JTL-117","Lajpat Nagar","Mahatma Gandhi Marg","Dhaula Kuan","28.565328, 77.248666"
565,"JTL","South","JTL-118","Lajpat Nagar","Mahatma Gandhi Marg","Ashram","28.565783, 77.249226"
566,"JTL","South","JTL-119","Lajpat Nagar","Mahatma Gandhi Marg","Ashram","28.565828, 77.249610"
567,"JTL","South","JTL-120","Lajpat Nagar","Mahatma Gandhi Marg","Ashram","28.565745, 77.248599"
568,"JTL","South","JTL-121","Gupta Market","Mahatma Gandhi Marg","Ashram","28.565077, 77.239891"
569,"JTL","South","JTL-122","Gupta Market","Mahatma Gandhi Marg","Ashram","28.565084, 77.239958"
570,"JTL","South","JTL-123","Gupta Market","Mahatma Gandhi Marg","Dhaula Kuan","28.564850, 77.239414"
571,"JTL","South","JTL-124","Gupta Market","Mahatma Gandhi Marg","Dhaula Kuan","28.564796, 77.239880"
572,"JTL","South","JTL-125","Gupta Market","Mahatma Gandhi Marg","Dhaula Kuan","28.564900, 77.238652"
573,"JTL","South","JTL-126","Mool Chand","Mahatma Gandhi Marg","Ashram","28.565188, 77.235029"
574,"JTL","South","JTL-127","Andrews Ganj","Mahatma Gandhi Marg","Ashram","28.565997, 77.230408"
575,"JTL","South","JTL-128","Andrews Ganj","Mahatma Gandhi Marg","AIIMS","28.565851, 77.229896"
576,"JTL","South","JTL-129","Andrews Ganj","Mahatma Gandhi Marg","AIIMS","28.566025, 77.229421"
577,"JTL","South","JTL-130","Andrews Ganj","Mahatma Gandhi Marg","Ashram","28.565933, 77.230703"
578,"JTL","South","JTL-131","South Extension","Mahatma Gandhi Marg","Ashram","28.568793, 77.220958"
579,"JTL","South","JTL-132","South Extension","Mahatma Gandhi Marg","Ashram","28.568795, 77.220405"
580,"JTL","South","JTL-133","South Extension","Mahatma Gandhi Marg","Ashram","28.568807, 77.220676"
581,"JTL","South","JTL-134","South Extension","Mahatma Gandhi Marg","AIIMS","28.568529, 77.220928"
582,"JTL","South","JTL-135","South Extension","Mahatma Gandhi Marg","AIIMS","28.568555, 77.220333"
583,"JTL","South","JTL-136","South Extension","Mahatma Gandhi Marg","AIIMS","28.568541, 77.220574"
584,"JTL","South","JTL-137","AIIMS","Mahatma Gandhi Marg","Ashram","28.569227, 77.211961"
585,"JTL","South","JTL-138","AIIMS","Mahatma Gandhi Marg","Ashram","28.569185, 77.212433"
586,"JTL","South","JTL-139","AIIMS","Mahatma Gandhi Marg","Dhaula Kuan","28.568946, 77.212470"
587,"JTL","South","JTL-140","AIIMS","Mahatma Gandhi Marg","Dhaula Kuan","28.568977, 77.212164"
588,"JTL","South","JTL-141","S.J Hospital","Mahatma Gandhi Marg","AIIMS","28.569720, 77.204680"
589,"JTL","South","JTL-142","S.J Hospital","Mahatma Gandhi Marg","AIIMS","28.569732, 77.204705"
590,"JTL","South","JTL-143","S.J Hospital","Mahatma Gandhi Marg","AIIMS","28.569717, 77.204964"
591,"JTL","South","JTL-144","S J Hospital","Mahatma Gandhi Marg","Dhaula Kuan","28.569475, 77.204728"
592,"JTL","South","JTL-145","S J Hospital","Mahatma Gandhi Marg","Dhaula Kuan","28.569467, 77.204505"
593,"JTL","South","JTL-146","Raj Nagar","Mahatma Gandhi Marg","AIIMS","28.569957, 77.201298"
594,"JTL","South","JTL-147","Raj Nagar","Mahatma Gandhi Marg","Dhaula Kuan","28.569605, 77.201605"
595,"JTL","South","JTL-148","Nauroji Nagar","Mahatma Gandhi Marg","AIIMS","28.569580, 77.195245"
596,"JTL","South","JTL-149","Nauroji Nagar","Mahatma Gandhi Marg","Dhaula Kuan","28.569370, 77.195388"
597,"JTL","South","JTL-150","Nauroji Nagar","Mahatma Gandhi Marg","Dhaula Kuan","28.569311, 77.195102"
598,"JTL","South","JTL-151","Nauroji Nagar","Mahatma Gandhi Marg","AIIMS","28.569600, 77.195531"
599,"JTL","South","JTL-152","Hyatt Hotel","Mahatma Gandhi Marg","AIIMS","28.570113, 77.185616"
600,"JTL","South","JTL-153","Hyatt Hotel","Mahatma Gandhi Marg","AIIMS","28.570062, 77.185809"
601,"JTL","South","JTL-154","Africa Avenue","Mahatma Gandhi Marg","AIIMS","28.569550, 77.191339"
602,"JTL","South","JTL-155","Africa Avenue","Mahatma Gandhi Marg","Dhaula Kuan","28.569208, 77.191245"
603,"JTL","South","JTL-156","R K Puram, Sector 12","Mahatma Gandhi Marg","Dhaula Kuan","28.572465, 77.179630"
604,"JTL","South","JTL-157","R K Puram Sector 12","Mahatma Gandhi Marg","Dhaula Kuan","28.572701, 77.179405"
605,"JTL","South","JTL-158","R K Puram, Sector 12","Mahatma Gandhi Marg","Dhaula Kuan","28.572946, 77.179228"
606,"JTL","South","JTL-159","R K Puram Sector 12","Mahatma Gandhi Marg","Dhaula Kuan","28.573002, 77.179180"
607,"JTL","South","JTL-160","Aradhana Enclave","Mahatma Gandhi Marg","AIIMS","28.574434, 77.178627"
608,"JTL","South","JTL-161","R K Puram","Mahatma Gandhi Marg","AIIMS","28.571522, 77.181435"
609,"JTL","South","JTL-162","R K Puram Xing Sector 12","Mahatma Gandhi Marg","Dhaula Kuan","28.575147, 77.177798"
610,"JTL","South","JTL-163","R K Puram Xing Sector 12","Mahatma Gandhi Marg","Dhaula Kuan","28.574885, 77.177999"
611,"JTL","South","JTL-164","Moti Bagh","Mahatma Gandhi Marg","AIIMS","28.576188, 77.177737"
612,"JTL","South","JTL-165","South Moti Bagh","Mahatma Gandhi Marg","AIIMS","28.581891, 77.174302"
613,"JTL","South","JTL-166","South Moti Bagh","Mahatma Gandhi Marg","Dhaula Kuan","28.581697, 77.174039"
614,"JTL","South","JTL-167","North Moti Bagh","Mahatma Gandhi Marg","AIIMS","28.577064, 77.177179"
615,"JTL","South","JTL-168","Moti Bagh Gurudwara Nanak Pura","Mahatma Gandhi Marg","Dhaula Kuan","28.583989, 77.172555"
616,"JTL","South","JTL-169","Moti Bagh Gurudwara Nanak Pura","Mahatma Gandhi Marg","AIIMS","28.584762, 77.172802"
617,"JTL","South","JTL-170","Gurudwara Moti Bagh","Mahatma Gandhi Marg","Dhaula Kuan","28.585384, 77.171783"
618,"JTL","South","JTL-171","Satya Niketan","Mahatma Gandhi Marg","Dhaula Kuan","28.587795, 77.170329"
619,"JTL","South","JTL-172","Satya Niketan","Mahatma Gandhi Marg","Dhaula Kuan","28.587939, 77.170251"
620,"JTL","South","JTL-173","Satya Niketan","Mahatma Gandhi Marg","AIIMS","28.587840, 77.170664"
621,"JTL","South","JTL-174","Satya Niketan","Mahatma Gandhi Marg","AIIMS","28.587607, 77.170812"
622,"JTL","South","JTL-175","ARSD College","Mahatma Gandhi Marg","Dhaula Kuan","28.590327, 77.168677"
623,"JTL","South","JTL-176","ARSD College","Mahatma Gandhi Marg","Dhaula Kuan","28.590228, 77.168730"
624,"JTL","South","JTL-177","Venketeshvar College","Benito Juarez Marg","Dhaula Kuan","28.588208, 77.167430"
625,"JTL","South","JTL-178","Venketeshvar College","Benito Juarez Marg","RLA College","28.588067, 77.167495"
626,"JTL","South","JTL-179","South Campus","Benito Juarez Marg","Outer Ring Road","28.583926, 77.165017"
627,"JTL","South","JTL-180","South Campus","Benito Juarez Marg","Dhaula Kuan","28.583822, 77.165127"
628,"JTL","South","JTL-181","Ram Lal Anand College","Benito Juarez Marg","Dhaula Kuan","28.578201, 77.162354"
629,"JTL","South","JTL-182","Moti lalL Nehru College","Benito Juarez Marg","Dhaula Kuan","28.576937, 77.161828"
630,"JTL","South","JTL-183","Rav Tula Ram College","Benito Juarez Marg","Dhaula Kuan","28.575611, 77.159257"
631,"JTL","South","JTL-184","Arjun Path","Rao Tularam Marg","Airport","28.574658, 77.148404"
632,"JTL","South","JTL-185","Arjun Path","Rao Tularam Marg","Airport","28.574748, 77.147531"
633,"JTL","South","JTL-186","Arjun Path","Rao Tularam Marg","IIT","28.574766, 77.147248"
634,"JTL","South","JTL-187","Arjun Path","Rao Tularam Marg","IIT","28.575327, 77.147201"
635,"JTL","South","JTL-188","Arjun Path","Rao Tularam Marg","Ring road","28.575304, 77.147321"
636,"JTL","South","JTL-189","Arjun Path","Rao Tularam Marg","VV Depot","28.575070, 77.148495"
637,"JTL","South","JTL-190","Shani Mandir","Rao Tularam Marg","Airport","28.574120, 77.151525"
638,"JTL","South","JTL-191","R K Puram xing","Vivekanand Marg","Outer Ring Road","28.568376, 77.183695"
639,"JTL","South","JTL-192","R K Puram xing","Vivekanand Marg","Ring road","28.568415, 77.183546"
640,"JTL","South","JTL-193","Sector 1, R KPuram","Vivekanand Marg","Outer Ring Road","28.564337, 77.179925"
641,"JTL","South","JTL-194","Sector 1,R K Puram","Vivekanand Marg","Sanagm Cinema","28.564165, 77.180094"
642,"JTL","South","JTL-195","Sector 2 R K Puram","Vivekanand Marg","Mohd. Pur","28.565631, 77.182221"
643,"JTL","South","JTL-196","Sector 2, R KPuram","Africa Avenue","Ring road","28.564165, 77.180094"
644,"JTL","South","JTL-197","Sector 2, R K Puram","Africa Avenue","Outer Ring Road","28.561712, 77.188479"
645,"JTL","South","JTL-198","Sector 1 & 4 R K Puram","Vivekanand Marg","Mohd. Pur","28.563249, 77.179812"
646,"JTL","South","JTL-199","Sector 3, R Kpuram","Vivekanand Marg","Sangam Cinema","28.556620, 77.184707"
647,"JTL","South","JTL-200","Sector 3, R K Puram","Vivekanand Marg","Mohd. Pur","28.556761, 77.185067"
648,"JTL","South","JTL-201","Sector 3 R K Puram","Vivekanand Marg","Sangam Cinema","28.556539, 77.184938"
649,"JTL","South","JTL-202","Sector 3, R K Puram","Vivekanand Marg","Mohd. Pur","28.556945, 77.184428"
650,"JTL","South","JTL-203","Sector 4,R K Puram","Vivekanand Marg","Sangam Cinema","28.558076, 77.182325"
651,"JTL","South","JTL-204","Sector 4 & 2 R K Puram","Vivekanand Marg","Mohd. Pur","28.563230, 77.179769"
652,"JTL","South","JTL-205","R K Puram, Sector 7","Major Somnath Marg","Outer Ring Road","28.570671, 77.169128"
653,"JTL","South","JTL-206","R K Puram, Sector 7","Major Somnath Marg","Sangam Cinema","28.570931, 77.169328"
654,"JTL","South","JTL-207","R K Puram, Sector 8","Major Somnath Marg","Sangam Cinema","28.569727, 77.165532"
655,"JTL","South","JTL-208","R K Puram, Sector 8","Major Somnath Marg","Outer Ring Road","28.569772, 77.166177"
656,"JTL","South","JTL-209","R K Puram, Sector 7","Vivekanand Marg","Sangam Cinema","28.570479, 77.172736"
657,"JTL","South","JTL-210","Sector 10, R K Puram","Vivekanand Marg","Mohd. Pur","28.570256, 77.173066"
658,"JTL","South","JTL-211","Sangam Cinema","Major Somnath Marg","Sangam Cinema","28.573489, 77.173494"
659,"JTL","South","JTL-212","Munirka","Vivekanand Marg","Outer Ring Road","28.558490, 77.173765"
660,"JTL","South","JTL-213","Munirka","Vivekanand Marg","Hyatt Hotel","28.558687, 77.173697"
661,"JTL","South","JTL-214","R K Puram NAB","Vivekanand Marg","Outer Ring Road","28.561123, 77.176160"
662,"JTL","South","JTL-215","R K Puram NAB","Vivekanand Marg","Hyatt Hotel","28.561142, 77.175917"
663,"JTL","South","JTL-216","Mohan Singh Market","Tamil Sangam Marg","Sangam Cinema","28.566626, 77.176076"
664,"JTL","South","JTL-217","Mohan Singh Market","Tamil Sangam Marg","Mohd. Pur","28.566828, 77.176109"
665,"JTL","South","JTL-218","S J Enclave","Chaudhary Jhandu Marg","Mohd. Pur","28.566131, 77.191212"
666,"JTL","South","JTL-219","Bhikaji K Place","Africa Avenue","Outer Ring Road","28.568011, 77.189590"
667,"JTL","South","JTL-220","Bhikaji K Place","Africa Avenue","Ring road","28.567959, 77.189301"
668,"JTL","South","JTL-221","Mohd Pur","Africa Avenue","Ring road","28.564847, 77.188917"
669,"JTL","South","JTL-222","Mohd.Pur","Africa Avenue","Outer Ring Road","28.564949, 77.189089"
670,"JTL","South","JTL-223","IIT Hostel","Africa Avenue","Outer Ring Road","28.551949, 77.184771"
671,"JTL","South","JTL-224","IIT Hostel","Africa Avenue","Ring road","28.551957, 77.184771"
672,"JTL","South","JTL-225","Shiv Mandir","Khel Gaon Road","Ring road","28.565520, 77.224563"
673,"JTL","South","JTL-226","Ansal Plaza","Khel Gaon Road","Outer Ring Road","28.565481, 77.224745"
674,"JTL","South","JTL-227","Ayur Vigyan Nagar","Khel Gaon Road","Ring road","28.561403, 77.222083"
675,"JTL","South","JTL-228","Ayur Vigyan Nagar","Khel Gaon Road","Ring road","28.561076, 77.221787"
676,"JTL","South","JTL-229","Ayur Vigyan Nagar","Khel Gaon Road","Outer Ring Road","28.560483, 77.221487"
677,"JTL","South","JTL-230","Anand Lok","Khel Gaon Road","Outer Ring Road","28.558341, 77.218584"
678,"JTL","South","JTL-231","Uday Park","Khel Gaon Road","Ring road","28.559076, 77.219147"
679,"JTL","South","JTL-232","Neeti Bagh","Khel Gaon Road","Ring road","28.557829, 77.217428"
680,"JTL","South","JTL-233","K N College","Khel Gaon Road","Outer Ring Road","28.556486, 77.216149"
681,"JTL","South","JTL-234","Shahpur Jat","Khel Gaon Road","Outer Ring Road","28.548109, 77.209936"
682,"JTL","South","JTL-235","Khel Gaon","Khel Gaon Road","Ring road","28.549818, 77.210299"
683,"JTL","South","JTL-236","Khel Gaon","Khel Gaon Road","Outer Ring Road","28.550871, 77.210922"
684,"JTL","South","JTL-237","Panchsheel Club","Khel Gaon Road","Ring road","28.546062, 77.209013"
685,"JTL","South","JTL-238","Panchsheel Club","Khel Gaon Road","Outer Ring Road","28.546080, 77.209201"
686,"JTL","North","JTL-239-P","Madhuban Chowk","Bhagawan Mahavir Marg","Pitampura","28.705347, 77.129300"
687,"JTL","North","JTL-240-P","Fire Station Sector-8","Bhagawan Mahavir Marg","Rithala","28.707273, 77.126575"
688,"JTL","North","JTL-241-P","Sai baba Chowk","Bhagawan Mahavir Marg","Rithala","28.708156, 77.124965"
689,"JTL","North","JTL-242-P","Ambedkar Hospital","Bhagawan Mahavir Marg","Madhuban Chowk","28.715722, 77.114378"
690,"JTL","West","JTL-243-P","Janak Setu","Jail Road","Janakpuri","28.610458, 77.113882"
691,"JTL","West","JTL-244-P","Janak Setu","Jail Road","Dhaula Kuan","28.610739, 77.113663"
692,"JTL","North","JTL-245-P","Vijay Nagar","Vijay Nagar Marg","Kingsway camp","28.692913, 77.205190"
693,"JTL","West","JTL-246-P","Fire Station (Kirti Ngr)","Satguru Ram Singh Marg","Maya Puri","28.639697, 77.134261"
694,"JTL","West","JTL-247-P","P S Kirti Nagar","Satguru Ram Singh Marg","Kirti Nagar","28.649653, 77.143705"
695,"JTL","West","JTL-248-P","P S Kirti Nagar","Satguru Ram Singh Marg","Maya Puri","28.649551, 77.143951"
696,"JTL","West","JTL-249-P","Sarswati Garden","Satguru Ram Singh Marg","Kirti Nagar","28.646045, 77.139970"
697,"JTL","West","JTL-250-P","Sarswati Garden","Satguru Ram Singh Marg","M.Puri","28.646055, 77.140268"
698,"JTL","West","JTL-251-P","Wood Mkt( Mansarovar Garden)","Satguru Ram Singh Marg","Kirti Nagar","28.642558, 77.136689"
699,"JTL","West","JTL-252-P","Wood Mkt( Mansarovar Garden)","Satguru Ram Singh Marg","Maya Puri","28.642877, 77.137161"
700,"JTL","South","JTL-253-P","Sarai kale Khan(CNG Station)","Mahatma Gandhi Marg","Bhairon Marg","28.590351, 77.258026"
701,"JTL","South","JTL-254-P","Malai Mandir","Olof Palme Marg","Airport","28.567028, 77.165484"
702,"JTL","East","JTL-255-M","Opposite Akshardham","Gurjar Samrat Mihir Bhoj Marg","Ring Road","28.611204, 77.280527"
703,"JTL","East","JTL-256-P","CWG Village","Gurjar Samrat Mihir Bhoj Marg","Ring Road","28.611679, 77.281809"
704,"JTL","Central","JTL-257-P","Purana Qila (Opposite Pragati Maidan)","Bhairon Marg","Mathura Road","28.611392, 77.245921"
705,"JTL","East","JTL-258-P","Mansarovar Park Metro Station","G T Road","Dilshad garden","28.675862, 77.299921"
706,"JTL","East","JTL-259-P","Mansarovar Park Metro Station","G T Road","Shahdra","28.675540, 77.300065"
707,"JTL","East","JTL-260-P","Shahdara Border","G T Road","Shahdara","28.676202, 77.321873"
708,"JTL","East","JTL-261-P","Shahdara Border","G T Road","UP Border","28.676432, 77.321969"
709,"JTL","East","JTL-262-P","Seelam Pur Metro Station","G T Road","ISBT","28.670563, 77.265523"
710,"JTL","East","JTL-263-P","Dilshad Garden GT Road","G T Road","ISBT","28.675863, 77.311889"
711,"JTL","East","JTL-264-P","Shastri Prk M/Train Depot","G T Road","ISBT","28.673795, 77.248061"
712,"JTL","East","JTL-265-P","Shahstri Park DMRC Depot","G T Road","Shahdara","28.674096, 77.247634"
713,"JTL","East","JTL-266-P","Shahstri Park","G T Road","Shahdara","28.672620, 77.256953"
714,"JTL","East","JTL-267-P","Shahstri Park","G T Road","ISBT","28.672221, 77.257220"
715,"JTL","East","JTL-268-P","Shakar Pur School Block S-1","New Patpar Ganj Raod","Laxmi Nagar","28.626992, 77.279537"
716,"JTL","East","JTL-269-P","Shakar Pur School Block S-3","New Patpar Ganj Raod","Laxmi Nagar","28.627221, 77.279233"
717,"JTL","East","JTL-270-P","Ganesh Nagar","New Patpar Ganj Raod","Pandav Nagar","28.621049, 77.285148"
718,"JTL","East","JTL-271-P","Mother Dairy","New Patpar Ganj Raod","Pandav Nagar","28.618880, 77.286310"
719,"JTL","North","JTL-272-P","Rohini Sector-9","Bhagawan Mahavir Marg","Madhuban Chowk","28.714068, 77.116839"
720,"JTL","North","JTL-273-P","Rohini Sector-7","Bhagawan Mahavir Marg","Rithala","28.713379, 77.117309"
721,"JTL","North","JTL-274-P","Rithala Metro station","Bhagawan Mahavir Marg","Sector 24","28.719497, 77.108567"
722,"JTL","North","JTL-275-P","Rithala Metro station","Bhagawan Mahavir Marg","Madhuban Chowk","28.719843, 77.108522"
723,"JTL","North","JTL-276-P","Ambedkar Hospital","Bhagawan Mahavir Marg","Rithala","28.715789, 77.113956"
724,"JTL","North","JTL-277-P","Rajiv Gandhi Cancer Hospital","Bhagawan Mahavir Marg","Rithala","28.717141, 77.111970"
725,"JTL","North","JTL-278-P","Rohini Sector-9","Bhagawan Mahavir Marg","Madhuban Chowk","28.714075, 77.116840"
726,"JTL","North","JTL-279-P","Fire Station Sector-8","Bhagawan Mahavir Marg","Pitampura","28.707339, 77.126547"
727,"JTL","North","JTL-280-P","Rohini Sector 7 & 8","Bhagawan Mahavir Marg","Madhuban Chowk","28.708410, 77.124983"
728,"JTL","East","JTL-281-P","Shyam Lal College","G T Road","ISBT","28.673434, 77.283814"
729,"JTL","East","JTL-282-P","Shyam Lal College","G T Road","UP Border","28.673606, 77.283417"
730,"JTL","West","JTL-283-P","Rajendra Place","Pusa Road","Shadipur","28.642743, 77.180662"
731,"JTL","Central","JTL-284-P","Videocon Tower","Rani Jhas Road","Jhandewalan","28.644042, 77.203535"
732,"JTL","Central","JTL-285-P","Rani Jhasi Road","Rani Jhas Road","Pusa Road","28.645647, 77.204936"
733,"JTL","Central","JTL-286-P","P S Paharganj","D B Gupta Road","Jhandewalan","28.645989, 77.208140"
734,"JTL","Central","JTL-287-P","P S Paharganj","D B Gupta Road","Jhandewalan","28.646036, 77.207895"
735,"JTL","Central","JTL-288-P","P S Paharganj","D B Gupta Road","New Delhi Railway Station","28.646208, 77.208161"
736,"JTL","Central","JTL-289-P","Jhandewalan","D B Gupta Road","Anand Parbat","28.646795, 77.204130"
737,"JTL","Central","JTL-290-P","Jhandewalan","D B Gupta Road","Paharganj","28.647083, 77.203855"
